Date,Open,High,Low,Close,Volume
2025-09-19,47336,47440,46935,47049,1707749
2025-09-22,47381,47787,47341,47509,2018868
2025-09-23,47916,48024,47569,47906,2263488
2025-09-24,47930,48099,47321,47757,1864190
2025-09-25,47524,47886,47435,47767,1930516
2025-09-26,47292,47306,46262,46608,3200757
2025-09-29,46965,47435,46950,47341,2640110
2025-09-30,47336,47465,47123,47188,1621891
2025-10-01,47480,47792,47450,47708,1938841
2025-10-02,48891,49624,48708,49154,4950857
2025-10-10,50184,50600,49733,50362,3529423
2025-10-13,49510,49906,48941,49906,3276430
2025-10-14,50184,50887,49025,49396,4823649
2025-10-15,49609,50822,49609,50788,2178080
2025-10-16,50936,52110,50887,52110,2831477
2025-10-17,51862,52991,51788,52249,3281204
2025-10-20,52734,53254,51902,53234,3206581
2025-10-21,53769,54467,53194,53348,4224579
2025-10-22,53184,53947,52665,53942,2902506
2025-10-23,53155,54269,52976,53397,3647094
2025-10-24,54076,54878,53912,54769,4059848
2025-10-27,55675,56284,55581,56270,4173168
2025-10-28,55730,55873,55150,55720,4431905
2025-10-29,56388,56908,55651,56889,4044146
2025-10-30,57439,57975,56868,57057,5894908
2025-10-31,57226,57807,56774,57697,4501149
2025-11-03,57807,59534,57722,59524,4967043
2025-11-04,59574,59624,57856,57876,6315005
2025-11-05,56893,56923,54108,56263,14000009
2025-11-06,57663,57836,55900,56575,4575810
2025-11-07,55463,56759,54610,55553,4837815
2025-11-10,56163,57628,55985,57266,3325630
2025-11-11,58114,59142,57295,57826,4671625
2025-11-12,57717,58566,57469,58427,1849732
2025-11-13,58060,58978,57975,58690,1801161
2025-11-14,56928,57310,56104,56104,3252837
2025-11-17,57087,57434,56705,57325,2671010
2025-11-18,56645,57122,55369,55434,3437914
2025-11-19,55622,55657,53964,55017,4617994
2025-11-20,56670,57112,56139,56223,3306534
2025-11-21,53825,54282,53577,53850,4421310
2025-11-24,54793,55022,53775,53870,4097828
2025-11-25,55508,55583,53895,54252,3061065
2025-11-26,54808,55717,54366,55717,4433499
2025-11-27,56198,56789,55856,56144,3031292
2025-11-28,56441,56456,55195,55329,2204108
2025-12-01,55861,56069,54719,55225,2381187
2025-12-02,55553,56446,55473,56322,2792256
2025-12-03,56595,57246,56238,56953,3010770
2025-12-04,56645,56784,56079,56784,2827201
2025-12-05,56640,57866,56402,57856,3844187
2025-12-08,58109,58651,57534,58646,3855462
2025-12-09,58512,58680,58085,58333,4686364
2025-12-10,58512,58939,58169,58308,3246022
2025-12-11,58809,58934,57767,57767,3181148
2025-12-12,57926,58730,57856,58626,2390787
2025-12-15,57266,57767,56992,57275,2278963
2025-12-16,57275,57409,55995,56039,4595934
2025-12-17,56342,57146,55975,57117,3192465
2025-12-18,56233,56873,56009,56446,3302261
2025-12-19,57405,57424,56496,56764,2836099
2025-12-22,58005,58124,57732,58080,2749023
2025-12-23,58288,58720,58184,58273,2877270
2025-12-24,58522,58621,58229,58263,1819091
2025-12-26,58502,59053,58477,58790,2438352
2025-12-29,59321,60358,59321,60324,3273420
2025-12-30,60090,60756,59961,60497,2594515
2026-01-02,60602,62361,60557,62270,2777910
2026-01-05,63560,64722,63516,64682,4078954
2026-01-06,64409,65819,63685,65785,4976451
2026-01-07,66782,67403,65358,66296,5260028
2026-01-08,65809,67587,65775,66207,3996556
2026-01-09,65929,66981,65422,66763,2683525
2026-01-12,67587,67805,66415,67175,3773087
2026-01-13,67800,68113,67264,68024,2774433
2026-01-14,67885,68480,67741,68446,2846170
2026-01-15,68227,69582,68103,69573,4242545
2026-01-16,69940,70670,69592,70357,4296041
2026-01-19,70168,71623,70079,71345,3956199
2026-01-20,71136,71633,69965,70774,4294438
2026-01-21,69448,71489,69399,71305,3889276
2026-01-22,72869,73271,71826,72094,5265136
2026-01-23,72487,73152,71677,72556,4535942
2026-01-26,72660,73132,71802,71866,2878482
2026-01-27,71489,74373,70992,74373,3894133
2026-01-28,75307,76026,74865,75724,6048023
2026-01-29,76952,77231,74205,76589,5089425
2026-01-30,76041,78336,76026,76813,6048756
2026-02-02,75165,76320,72214,72338,12895134
