Date,Open,High,Low,Close,Volume
2025-09-19,80800,81800,79600,79900,31825156
2025-09-22,79900,84000,79900,83500,43442606
2025-09-23,84000,91000,83600,85100,40560987
2025-09-24,84300,85500,83000,85400,28735507
2025-09-25,84500,86200,84100,85700,28231075
2025-09-26,85500,85900,82400,82900,37405293
2025-09-29,83500,85000,82500,84500,21006495
2025-09-30,85000,85500,83400,83900,22306947
2025-10-01,84300,86400,84100,86400,33117210
2025-10-02,86500,90300,86500,89300,70834460
2025-10-10,89000,94500,89000,94500,53396319
2025-10-13,93700,94800,90300,94600,43488856
2025-10-14,95000,97500,90200,91000,58610062
2025-10-15,91500,95600,91400,95500,34263173
2025-10-16,95000,97700,90200,97700,43550954
2025-10-17,97500,99100,94400,96300,41906757
2025-10-20,98100,99400,96000,98100,29795833
2025-10-21,98500,99900,97300,97900,36357537
2025-10-22,97500,98600,95500,98300,25373181
2025-10-23,96500,98500,95200,96400,27109187
2025-10-24,97200,99000,97200,98900,29236249
2025-10-27,99700,102000,99000,101700,45040577
2025-10-28,102500,103000,99100,99500,32639872
2025-10-29,100200,101700,99100,101700,34713000
2025-10-30,101700,105800,100700,104300,58920995
2025-10-31,109200,109200,101500,107700,79465688
2025-11-03,105500,111500,105500,111300,51153623
2025-11-04,111500,113400,102100,104200,57975690
2025-11-05,103500,103800,96700,100300,81789273
2025-11-06,101600,104700,98800,99600,47976118
2025-11-07,97800,100300,94000,97500,40533295
2025-11-10,98000,101300,97700,101300,37426697
2025-11-11,103200,106000,102000,104100,45942879
2025-11-12,104000,104300,101600,103900,29288027
2025-11-13,102500,104200,102300,102600,27930989
2025-11-14,100400,100900,97000,97500,36940812
2025-11-17,99000,101000,98600,100200,26710103
2025-11-18,98600,100900,97500,98100,26900751
2025-11-19,97700,97900,94600,97700,29310533
2025-11-20,99400,102900,99100,101400,40559294
2025-11-21,97400,98100,93500,94400,40958515
2025-11-24,96700,99000,95700,97000,42828089
2025-11-25,98800,101500,97800,98700,28150998
2025-11-26,100100,103200,99300,103100,36637265
2025-11-27,104300,105500,102700,103400,28679291
2025-11-28,103500,103800,100500,101500,23409549
2025-12-01,101500,102800,99900,100600,18061869
2025-12-02,101000,104000,100800,104000,21321056
2025-12-03,104300,105500,103900,104700,23745599
2025-12-04,104000,105300,103200,104900,19390830
2025-12-05,104700,108400,104300,108200,30906604
2025-12-08,111500,112000,108000,109500,25145683
2025-12-09,107500,110600,107300,108400,20936599
2025-12-10,108400,109800,107400,108500,20201909
2025-12-11,108700,110500,107300,107700,33736537
2025-12-12,107300,108900,106100,108500,20527897
2025-12-15,106200,106400,104600,105600,31033350
2025-12-16,105800,105800,102700,103400,26066595
2025-12-17,103500,108200,103300,108100,31651979
2025-12-18,104400,109300,104400,108100,32006672
2025-12-19,108900,109800,106200,106600,35835103
2025-12-22,108500,110700,108300,110700,38723282
2025-12-23,111000,112500,110400,111500,30330158
2025-12-24,112000,112500,110900,111300,18266922
2025-12-26,112000,117100,111600,117000,49719900
2025-12-29,117300,120300,116000,118800,33785290
2025-12-30,119400,121200,118700,120400,27688959
2026-01-02,120200,129600,120000,129300,42351732
2026-01-05,128500,139900,128200,139700,65314432
2026-01-06,138200,140200,132700,136900,70920371
2026-01-07,139500,144400,137600,141500,71328191
2026-01-08,141500,144500,137000,139600,61245266
2026-01-09,138000,140700,135200,139700,42818739
2026-01-12,141900,142700,136900,138000,38679061
2026-01-13,139300,140700,136900,138100,31015302
2026-01-14,138200,140300,136500,139500,26028355
2026-01-15,138900,145100,138300,145000,38180191
2026-01-16,144500,149500,143800,149500,43991946
2026-01-19,149200,150600,146600,148200,37121154
2026-01-20,148900,149300,138000,142500,44901592
2026-01-21,143500,149800,141000,149700,46442105
2026-01-22,152100,160000,150800,154100,47807146
2026-01-23,153600,156000,150100,151700,35909854
2026-01-26,152100,156600,151500,152400,30611858
2026-01-27,152100,159900,149200,159900,41620504
2026-01-28,160300,164800,160100,164300,45339804
2026-01-29,163500,168200,157100,161100,52925690
2026-01-30,161500,166500,160100,160800,55580751
2026-02-02,158000,159600,150400,151200,56198760
2026-02-03,153000,168300,153000,167500,53939218
2026-02-04,164900,169400,162100,168100,44925851
2026-02-05,165000,165000,158500,161100,57273532
2026-02-06,152000,161600,111600,161000,55231941
2026-02-09,165000,170000,163200,163500,40985391
2026-02-10,166700,168100,165300,166500,27936333
2026-02-11,165400,168600,162000,166800,31864251
2026-02-12,169500,180000,169500,179900,63654320
2026-02-13,177000,184400,176300,182400,53024038
2026-02-19,182100,190900,182100,188900,45422244
2026-02-20,189800,191200,188400,190300,37319303
2026-02-23,191500,197600,190500,194200,42086577
2026-02-24,194700,201500,190700,201000,44767965
2026-02-25,202000,206500,201000,205500,42710367
2026-02-26,207500,228500,205500,223000,60802133
2026-02-27,218000,223000,210000,217500,80456096
2026-03-03,214000,215000,184600,186000,120994409
2026-03-04,190000,195900,171900,181600,184765871
2026-03-05,183500,199700,183500,193500,104159421
2026-03-06,189000,190100,181000,185800,54624256
2026-03-09,179800,181300,167300,171500,81720394
2026-03-10,184000,191500,180000,189700,67282041
2026-03-11,189800,194800,185100,189200,48183509
2026-03-12,189300,191500,185900,188400,35068892
2026-03-13,183000,186200,178300,184000,34989358
2026-03-16,184100,191100,182500,191000,35857932
2026-03-17,194400,198700,193100,194800,40380297
2026-03-18,196100,210000,196100,209500,50831280
2026-03-19,205000,205000,198200,198700,45393904
2026-03-20,204500,206000,198600,199800,52301059
2026-03-23,200000,200000,185100,185300,52346372
2026-03-24,197000,198200,185500,190700,46293065
2026-03-25,195400,196400,189000,191700,39152479
2026-03-26,190100,190100,178900,180200,53858577
2026-03-27,175200,181700,171500,176800,51056520
2026-03-30,173000,178500,170600,177000,37497434
2026-03-31,171600,174700,165700,166700,65265509
2026-04-01,178600,190800,175800,188100,62692491
2026-04-02,192700,195200,175000,175600,71689983
2026-04-03,182900,187200,181000,185800,39792452
2026-04-06,186900,197600,184600,196800,54503262
2026-04-07,198000,209500,192000,192700,67529951
2026-04-08,199800,214500,199800,213000,81498731
2026-04-09,214000,215000,202000,203000,63954070
2026-04-10,209000,211000,205000,207000,33395939
2026-04-13,200000,204500,197200,200500,35318729
2026-04-14,206500,210000,205500,209000,40009800
2026-04-15,212500,215500,210000,212000,40929483
2026-04-16,212000,218500,210500,217500,38365454
2026-04-17,221000,221000,215000,218000,29976690
2026-04-20,213000,219000,212000,215500,29993587
