Date,Open,High,Low,Close,Volume
2026-04-08,17050,17375,16030,16235,9942
2026-04-09,16780,17265,16740,16935,2899
2026-04-10,16185,16490,16065,16490,2212
2026-04-13,17370,17395,16440,16785,9279
2026-04-14,15555,15840,15370,15705,16179
2026-04-15,14475,15060,14410,14800,52799
2026-04-16,14745,15055,14245,14245,17029
2026-04-17,14320,14560,14275,14415,11688
2026-04-20,14400,14500,13690,13810,17527
2026-04-21,13490,13490,12970,12980,37362
2026-04-22,13050,13400,12730,12790,32624
2026-04-23,12485,13325,12210,12555,102275
2026-04-24,12335,12545,12145,12155,37671
2026-04-27,11945,11945,10800,10950,76578
2026-04-28,10915,11180,10830,11040,174715
2026-04-29,11450,11450,10945,11050,122962
2026-04-30,10785,11255,10700,11255,148984
2026-05-04,10555,10710,9935,9935,325427
2026-05-06,8830,9165,8485,8485,433628
2026-05-07,8300,8965,8190,8290,503067
2026-05-08,8750,8750,8110,8115,357344
2026-05-11,7370,7375,6880,6990,823959
2026-05-12,6760,7965,6340,7525,1786142
2026-05-13,8000,8025,6665,6685,1756950
2026-05-14,6755,6930,6555,6560,1092397
2026-05-15,6580,7770,6470,7575,3650212
2026-05-18,7840,8400,7060,7365,2249316
2026-05-19,7655,8240,7530,7975,1708409
2026-05-20,7945,8390,7625,7985,1282360
2026-05-21,7360,7440,6285,6295,1874349
2026-05-22,6320,6450,6130,6220,888645
2026-05-26,5830,5915,5650,5750,531007
2026-05-27,5050,5650,5050,5650,1221509
2026-05-28,5755,6340,5705,5865,951379
2026-05-29,5600,5980,5550,5820,388453
2026-06-01,5850,5850,5480,5560,334740
2026-06-02,5455,5955,5370,5555,759495
2026-06-04,5695,5735,5130,5320,340945
2026-06-05,5880,6180,5630,6040,642089
2026-06-08,7215,7240,6440,7160,657603
2026-06-09,6245,6625,5435,5540,525319
2026-06-10,5825,6297,5355,6050,1257729
2026-06-11,6410,6580,5420,5485,557867
2026-06-12,4595,4750,4250,4700,1644161
2026-06-15,4335,4545,4320,4490,331700
2026-06-16,4320,4680,4285,4530,134785
2026-06-17,4700,4700,4290,4290,346657
2026-06-18,4275,4330,3990,4065,275216
2026-06-19,3755,4320,3745,4100,810703
2026-06-22,4260,4260,3730,3750,601625
2026-06-23,3805,4640,3775,4630,1190535
2026-06-24,4380,4860,4190,4405,1353187
2026-06-25,3755,4090,3705,3800,400160
2026-06-26,3905,4405,3820,4200,754398
2026-06-29,4225,4560,4200,4340,332829
2026-06-30,4295,4455,3960,4110,151858
2026-07-01,4050,4445,3990,4300,174153
2026-07-02,4890,5410,4780,5365,670155
2026-07-03,5360,5950,4620,4675,781474
2026-07-06,4625,5195,4515,4915,278306
2026-07-07,5090,5875,4995,5500,443414
2026-07-08,5930,6230,5250,6220,709933
2026-07-09,5710,6235,5300,5695,711050
2026-07-10,5205,5665,4905,5280,452706
2026-07-13,5425,6425,5105,6400,548017
2026-07-14,6430,7220,5925,6120,738382
2026-07-15,5180,5330,4695,4970,530302
2026-07-16,5495,5950,5495,5930,287421
2026-07-20,6440,6650,5835,6650,376995
